paper_id,title,year,authors,institution,topic,cited_paper_id
P1,Graph Databases 101,2020,Alice Smith;Bob Johnson,MIT,Graph Theory,P2
P2,Introduction to Artificial Intelligence,2018,Charlie Brown,Stanford,Artificial Intelligence,
P3,Advanced Graph Algorithms,2021,Alice Smith;David Lee,MIT,Graph Theory,P1
P4,Neural Networks Explained,2019,Eva Green,Stanford,Artificial Intelligence,P2
P5,Graph Neural Networks Survey,2022,Bob Johnson;Charlie Brown,Harvard,Graph AI,P3
P6,Deep Learning for NLP,2020,Frank Moore,Oxford,Natural Language Processing,P4
P7,Knowledge Graph Embeddings Review,2021,Grace Kim;Alice Smith,MIT,Knowledge Graphs,P1
P8,Reinforcement Learning Basics,2017,Henry Adams,Carnegie Mellon University,Machine Learning,
P9,Semantic Search using Graphs,2022,Ivy Chen;Grace Kim,Stanford,Knowledge Graphs,P7
P10,Explainable AI Techniques,2021,Jack Wilson,Harvard,Artificial Intelligence,P2
P11,Temporal Graph Networks,2023,David Lee;Grace Kim,MIT,Graph AI,P5
P12,Large Language Models Overview,2023,Liam White,Oxford,Natural Language Processing,P6
P13,Ontology Engineering Principles,2019,Sophia Turner,Cambridge,Knowledge Graphs,
P14,Graph-Based Fraud Detection,2022,Bob Johnson;Henry Adams,Carnegie Mellon University,Graph AI,P3
P15,Collaborative Filtering Methods,2018,Emma Davis,Stanford,Machine Learning,P8
P16,Data Lineage in Enterprise Systems,2021,Noah Clark;Alice Smith,MIT,Data Engineering,P1
P17,Scalable Knowledge Graph Construction,2022,Olivia Harris;Grace Kim,Oxford,Knowledge Graphs,P7
P18,Transformer Architectures Explained,2020,William Young,Harvard,Natural Language Processing,P6
P19,Graph Centrality Measures Comparison,2019,David Lee,MIT,Graph Theory,P1
P20,AI in Healthcare Systems,2021,Sophia Turner;Frank Moore,Cambridge,Artificial Intelligence,P2
P21,Distributed Graph Processing Systems,2023,Liam White;Noah Clark,Oxford,Graph Theory,P11
P22,Multi-Modal Learning Approaches,2022,Emma Davis;Jack Wilson,Stanford,Machine Learning,P12
P23,Entity Resolution in Knowledge Graphs,2021,Grace Kim;Olivia Harris,MIT,Knowledge Graphs,P7
P24,Trustworthy AI Frameworks,2023,Eva Green;Charlie Brown,Stanford,Artificial Intelligence,P10
P25,Graph Attention Networks,2022,Alice Smith;William Young,Harvard,Graph AI,P5
